course_number,title,course_id,year,term,credits,meeting_time,instructor,description,course_note,requires,fas_divisional_distribution,quantitative_reasoning_with_data,is_general_education_course,general_requirement_type,source_page
ECON 3011,Graduate Student Workshop in Financial Economics,115030,2026,Spring,4,F 1200 PM - 0115 PM | Instructor Permission Required,"John Campbell, Jeremy Stein",Participants discuss recent research in financial economics and present their own work in progress.,,,None,No,No,,1086
ECON 3012,Graduate Student Workshop in Labor Economics,111404,2027,Spring,4,T 0130 PM - 0245 PM | Instructor Permission Required,"Lawrence Katz, Edward Glaeser, Claudia Goldin",Participants discuss recent research in labor economics and present their own work in progress.,,,None,No,No,,1086
ECON 3012,Graduate Student Workshop in Labor Economics,111404,2026,Fall,4,T 0130 PM - 0245 PM | Instructor Permission Required,"Lawrence Katz, Edward Glaeser, Claudia Goldin",Participants discuss recent research in labor economics and present their own work in progress.,,,None,No,No,,1086
ECON 3012,Graduate Student Workshop in Labor Economics,111404,2025,Fall,4,T 0130 PM - 0245 PM | Instructor Permission Required,"Lawrence Katz, Edward Glaeser, Claudia Goldin",Participants discuss recent research in labor economics and present their own work in progress.,,,None,No,No,,1086
ECON 3012,Graduate Student Workshop in Labor Economics,111404,2026,Spring,4,T 0130 PM - 0245 PM | Instructor Permission Required,"Lawrence Katz, Edward Glaeser, Claudia Goldin",Participants discuss recent research in labor economics and present their own work in progress.,,,None,No,No,,1086
ECON 3013,Graduate Student Workshop in Contracts and Organizations,107608,2027,Spring,4,W 1200 PM - 0115 PM,"Oliver Hart, Kathryn Spier",Participants discuss recent research in contracts and organizations and present their own work in progress. Open to doctoral students in economics.,,,Social Sciences,No,No,FAS Divisional Distribution,1087
ECON 3013,Graduate Student Workshop in Contracts and Organizations,107608,2026,Fall,4,W 1200 PM - 0115 PM,"Oliver Hart, Kathryn Spier",Participants discuss recent research in contracts and organizations and present their own work in progress. Open to doctoral students in economics.,,,Social Sciences,No,No,FAS Divisional Distribution,1087
ECON 3013,Graduate Student Workshop in Contracts and Organizations,107608,2025,Fall,4,W 1200 PM - 0115 PM,"Oliver Hart, Kathryn Spier",Participants discuss recent research in contracts and organizations and present their own work in progress. Open to doctoral students in economics.,,,Social Sciences,No,No,FAS Divisional Distribution,1087
ECON 3013,Graduate Student Workshop in Contracts and Organizations,107608,2026,Spring,4,W 1200 PM - 0115 PM,"Oliver Hart, Kathryn Spier",Participants discuss recent research in contracts and organizations and present their own work in progress. Open to doctoral students in economics.,,,Social Sciences,No,No,FAS Divisional Distribution,1087
ECON 3016A,Graduate Student Workshop in Environmental Economics,120837,2026,Fall,4,F 1200 PM - 1259 PM | Instructor Permission Required,"Robert Stavins, James H. Stock",,,,,No,No,,1087
ECON 3016A,Graduate Student Workshop in Environmental Economics,120837,2025,Fall,4,F 1200 PM - 1259 PM | Instructor Permission Required,"Robert Stavins, James H. Stock",,,,,No,No,,1087
ECON 3016B,Graduate Student Workshop in Environmental Economics,217792,2027,Spring,2,F 1200 PM - 0100 PM,"Robert Stavins, James H. Stock",,,,,No,No,,1088
ECON 3016B,Graduate Student Workshop in Environmental Economics,217792,2026,Spring,2,F 1200 PM - 0100 PM,"Robert Stavins, James H. Stock",,,,,No,No,,1088
ECON 3017,Research in Health Economics,115494,2026,Fall,4,R 0845 AM - 1015 AM | Instructor Permission Required,Mark Shepard,"This is a discussion-based course with the goal of helping PhD students in economics, health care policy, public policy, public health, and related fields read and learn the health economics literature. Each session is taught by a different instructor from around Harvard, who will introduce you to key research in their area of expertise.",,,None,No,No,,1088
ECON 3017,Research in Health Economics,115494,2025,Fall,4,R 0845 AM - 1015 AM | Instructor Permission Required,Mark Shepard,"This is a discussion-based course with the goal of helping PhD students in economics, health care policy, public policy, public health, and related fields read and learn the health economics literature. Each session is taught by a different instructor from around Harvard, who will introduce you to key research in their area of expertise.",,,None,No,No,,1088
ECON 3116A,Seminar in Environmental Economics and Policy,113829,2026,Fall,2,R 0430 PM - 0545 PM | Instructor Permission Required,"James H. Stock, Wolfram Schlenker","Selected topics in environmental and resource economics. Emphasizes theoretical models, quantitative empirical analysis, and public policy applications. Includes invited outside speakers.Part one of a two part series. The curriculum for this course builds throughout the academic year. Students must to complete both terms of this course (parts A and B) within the same academic year in order to receive credit.",Primarily for graduate students in economics or related fields with environmental interests. Offered jointly with the Kennedy School as API-905Y. For Econ students only: Please enter for Ec 3000 in the fall to ensure you receive full credit for Econ 3116 Graduate-level course in microeconomic theory.,,None,No,No,,1088
ECON 3116A,Seminar in Environmental Economics and Policy,113829,2025,Fall,2,W 0430 PM - 0545 PM | Instructor Permission Required,"James H. Stock, Robert Stavins","Selected topics in environmental and resource economics. Emphasizes theoretical models, quantitative empirical analysis, and public policy applications. Includes invited outside speakers.Part one of a two part series. The curriculum for this course builds throughout the academic year. Students must to complete both terms of this course (parts A and B) within the same academic year in order to receive credit.",Primarily for graduate students in economics or related fields with environmental interests. Offered jointly with the Kennedy School as API-905Y. For Econ students only: Please enter for Ec 3000 in the fall to ensure you receive full credit for Econ 3116 Graduate-level course in microeconomic theory.,,None,No,No,,1088
ECON 3116B (SEM),Seminar in Environmental Economics and Policy,217791,2027,Spring,2,R 0430 PM - 0545 PM,"James H. Stock, Wolfram Schlenker","Selected topics in environmental and resource economics. Emphasizes theoretical models, quantitative empirical analysis, and public policy applications. Includes invited outside speakers.Part one of a two part series. The curriculum for this course builds throughout the academic year. Students must to complete both terms of this course (parts A and B) within the same academic year in order to receive credit.",Primarily for graduate students in economics or related fields with environmental interests. Offered jointly with the Kennedy School as API-905Y. Graduate-level course in microeconomic theory.,Pre-requisite Economics 3116A,None,No,No,,1089
ECON 3116B (SEM),Seminar in Environmental Economics and Policy,217791,2026,Spring,2,R 0430 PM - 0545 PM,"James H. Stock, Wolfram Schlenker","Selected topics in environmental and resource economics. Emphasizes theoretical models, quantitative empirical analysis, and public policy applications. Includes invited outside speakers.Part one of a two part series. The curriculum for this course builds throughout the academic year. Students must to complete both terms of this course (parts A and B) within the same academic year in order to receive credit. Education Studies Education Studies",Primarily for graduate students in economics or related fields with environmental interests. Offered jointly with the Kennedy School as API-905Y. Graduate-level course in microeconomic theory.,Pre-requisite Economics 3116A,None,No,No,,1089
EDST 102,Developmental Psychology,218915,2025,Fall,4,T 1030 AM - 1230 PM,Paul Harris,"This course is an introduction to the theories and findings in developmental psychology. It covers the period of early childhood, but discussion will often extend to older children and adults. The course will cover attachment, pretense and imagination, theory of mind/autism, language and thought, memory, moral development, emotion and emotion understanding, vocabulary growth, cross-cultural variation in relationships and thinking, trust in others' testimony, thinking and reasoning, and religious development. An important goal is to allow students to examine for themselves not just the conclusions that psychologists have reached about development but also some of the experiments and observations that have led to those conclusions.Learning Goals:The purpose of this course is to introduce you to theories and findings in developmental psychology. The main emphasis will be on early childhood – roughly the period from 18 months to 6 years but for some topics we will also discuss development through adulthood. An important goal is to introduce you to some of the major theorists in developmental psychology (e.g., Bowlby, Piaget, Vygotsky, Kohlberg) as well as more contemporary researchers. A second goal is to enable you to examine for yourself, not just the conclusions that have been reached about development, but also some of the influential experiments and observations that have lead to those conclusions.",,,Social Sciences,No,No,FAS Divisional Distribution,1089
EDST 103,Philosophy of Education,218916,2026,Fall,4,M 0830 AM - 1020 AM,Catherine Elgin,"What is education? What are its goals? Why is education of value? Are these questions that can be settled once and for all, or do their answers depend on historical and cultural factors? In an effort to answer these questions, we will study works of philosophers such as Plato, Rousseau, Wollstonecraft, Du Bois, Washington, and Dewey. Two papers are required.No prerequisites; no previous work in philosophy is required. Open to any student who wants to think seriously about the fundamental nature and purposes of education.",,,Arts and Humanities,No,No,FAS Divisional Distribution,1090
EDST 103,Philosophy of Education,218916,2025,Fall,4,M 0830 AM - 1020 AM,Catherine Elgin,"What is education? What are its goals? Why is education of value? Are these questions that can be settled once and for all, or do their answers depend on historical and cultural factors? In an effort to answer these questions, we will study works of philosophers such as Plato, Rousseau, Wollstonecraft, Du Bois, Washington, and Dewey. Two papers are required.No prerequisites; no previous work in philosophy is required. Open to any student who wants to think seriously about the fundamental nature and purposes of education. EDST 108",,,Arts and Humanities,No,No,FAS Divisional Distribution,1090
Unlocking Potential: Improving Outcomes for Students with Reading,Difficulties,226849,2026,Spring,4,T 0130 PM - 0415 PM | Instructor Permission Required,Phil Capin,"Many children have difficulty learning to read proficiently. This course will explore the sources and mechanisms of reading difficulties, considering learning differences and disabilities as well as the sociocultural context. We will also examine evidence-based practices for preventing and ameliorating reading difficulties in school-age children. The course will address cognitive processes that underlie reading difficulties, as well as socioemotional domains that co-develop with reading acquisition. We will consider reading challenges using a strengths-based approach that privileges access to complex academic tasks alongside their grade-level peers and attends to the sociocultural contexts in which reading development occurs. Our focus will be on the United States context, with options for course members to explore reading from international perspectives. The course will emphasize practical applications of research evidence to support all readers, from the perspectives of educators of school- age students with reading challenges, school- and district-level administrators, and policy makers. In so doing, we will address common myths and misconceptions about dyslexia, supports for culturally and linguistically diverse students to leverage their funds of knowledge during reading tasks, the co-occurrence of other academic challenges (e.g., ADHD, math disability, etc.), and school-level policies that can optimize reading outcomes for all children. Doctoral and master's level students are welcome (undergraduates with permission). EDST 108",,,Social Sciences,No,No,FAS Divisional Distribution,1090
Unlocking Potential: Improving Outcomes for Students with Reading,Difficulties,226849,2027,Spring,4,T 0130 PM - 0415 PM | Instructor Permission Required,Many children have difficulty learning to read proficiently. This course will explore the sources and mechanisms,"of reading difficulties, considering learning differences and disabilities as well as the sociocultural context. We will also examine evidence-based practices for preventing and ameliorating reading difficulties in school-age children. The course will address cognitive processes that underlie reading difficulties, as well as socioemotional domains that co-develop with reading acquisition. We will consider reading challenges using a strengths-based approach that privileges access to complex academic tasks alongside their grade-level peers and attends to the sociocultural contexts in which reading development occurs. Our focus will be on the United States context, with options for course members to explore reading from international perspectives. The course will emphasize practical applications of research evidence to support all readers, from the perspectives of educators of school- age students with reading challenges, school- and district-level administrators, and policy makers. In so doing, we will address common myths and misconceptions about dyslexia, supports for culturally and linguistically diverse students to leverage their funds of knowledge during reading tasks, the co-occurrence of other academic challenges (e.g., ADHD, math disability, etc.), and school-level policies that can optimize reading outcomes for all children. Doctoral and master's level students are welcome (undergraduates with permission). EDST 118",,,Social Sciences,No,No,FAS Divisional Distribution,1091
Controversy in the Classroom: Debates On the Learning and Teaching of,"Math, Reading, and Science",233221,2026,Fall,4,No meeting time listed | Instructor Permission Required,Jon Star,"This course explores curricular and instructional debates about the learning and teaching of content areas taught in elementary and secondary schools – particularly mathematics, reading, and science. For at least the last 100 years, educators and educational researchers have continuously and vigorously argued about the best ways to teach math, reading, and science. The field widely recognizes the importance of these conversations and the centrality of consistency and clarity in how we conceptualize and advocate for the learning of school subjects. Yet frequently these debates have escalated to a type of ""war"" (e.g., the math wars, the reading wars) that plays out in both academia and in practice. In this course, we explore the fundamental arguments that have occurred about the learning and teaching of mathematics, science, and reading. We consider these debates theoretically, practically, and historically, looking mainly within the United States but with some consideration of Asian perspectives as well. Although the primary emphasis of the course will be on the learning and teaching of mathematics, science, and reading, students are welcome to explore other school subjects in course papers and projects. There are two intended audiences for this course. First, the course is designed for those who seek to develop broad knowledge about content learning in schools, including teacher leaders, policy makers, researchers, and district leaders who will be working with groups of teachers across several content areas. The course considers it essential that school leaders and policy makers understand learning challenges, curriculum controversies, and historical background that are specific to each content area. Second, the course is also intended for those with experience or knowledge in one content area who seek to develop knowledge about teaching and learning challenges in other content areas.",,,Social Sciences,No,No,FAS Divisional Distribution,1091
EDST 121,Educational Outcomes in Cross-National and Cross-Cultural Perspectives,218918,2027,Spring,4,R 1030 AM - 1145 AM,Paul Harris,"A great deal of thinking about the relationship between psychology and education asks what psychology can contribute to the improvement of education. For example, can psychology help to improve the way that we teach reading? Can it help to close the gap in achievement between particular groups? Do preschoolers have ideas or dispositions that help--or hinder--their progress in school? However, one can also ask about the effects of education on psychological processes. There is enormous cross-national and cross-cultural variation in the length and type of education that children receive. A major goal of this course is to help students understand the effects of such variation on the ways that people think--and feel. A secondary goal is to alert students to the ways in which those effects can be measured and to underline the contribution that different methods-- experiments, large-scale surveys, and participant observation--can make to our understanding of such effects. The final goal is to underline how educational provision and its impact vary dramatically across the globe. Learning Goals:There is enormous variation in the length and type of education that children receive. A major goal of this course is to help you think about and understand the effects of such variation on the way that children end up thinking - and the values they hold. A secondary goal is to alert you to the ways in which those effects can be measured and to underline the contribution that different methods - small-scale experiments, large surveys, qualitative and observational studies - can make to our understanding of such effects. The final goal is to underline how far educational provision and its impact have varied in the course of history and currently vary across the globe.Career Focus:This course is co-listed at HGSE and The Harvard Chan School of Public Health. It is designed for masters and doctoral level students from across the University who are interested in the design, testing, and implementation of innovative, science-based strategies to promote the healthy development of young children facing adversity. Aspiring innovators and change agents with an interest in early childhood policy and practice are especially welcome. No prerequisites; some background in either psychology or international education desirable.",,,Social Sciences,No,No,FAS Divisional Distribution,1091
EDST 124,Introduction to Teaching,218921,2025,Fall,4,W 0130 PM - 0415 PM | Instructor Permission Required,Jon Star,"This course invites students to think deeply about teaching. Questions that we will be exploring include the following: Is teaching an art, a science, or some combination of both? Why do people want to teach? How does our (and our students') background play a role in our teaching? What choices do and should teachers have in what they teach and how they teach? What makes excellent teaching? What makes an excellent teacher? We will use four types of sources to stimulate our thinking about teaching. First, we will draw from our personal experiences, both as learners (where we have experienced teaching) and also as teachers (for those who have formal and/or informal experience as a teacher). Second, there is an academic literature on teaching. We will read short sections of some classic works on teaching, to see how scholars have considered questions such as those listed above. Third, we will watch and discuss movies about teaching. The experience of teachers and teaching has been explored in a variety of major movies – both from the US/Hollywood but also from many other countries (UK, China, India, France, and others). What aspects of teaching do these movies get right? And finally, we will watch and discuss videos of actual classroom teaching. This course is open (with instructor permission) to all students; teaching experience is not required. This course satisfies the PCE requirement for HGSE students in the TTL program.",,,Social Sciences,No,No,FAS Divisional Distribution,1092
EDST 125,Children with Learning and Developmental Differences,218922,2027,Spring,4,M 1000 AM - 1200 PM | Instructor Permission Required,Nadine Gaab,"The duration of education is a strong predictor of health and longevity, but approximately 1 in 5 children with learning or attention issues have long-lasting negative consequences related to their academic, social, mental health, vocational, economic outcomes. In the US, over 2 million students struggle with specific learning disabilities (SLD), which represents roughly 35% of all students who receive special education services under the Individuals with Disabilities Education Act. Children with a learning disability are less likely to complete high school or enroll in postsecondary educational programs and have a heightened risk for developing mental health problems such as depression or anxiety. Currently, SLDs are primarily identified and addressed within the education system; however, these students also receive care and support outside of school and are members of various community settings. A streamlined approach that informs the coordination of general education, special education, clinical psychology, policymaking, advocacy, caregivers, and health professionals (e.g., pediatricians, speech-and language pathologists) is often absent and hinders the design of preventive approaches, identification strategies, and service implementation. It further leads to a siloed approach for care and policymaking, lack of community supports.The course will provide a broad overview of learning disabilities and differences, including dyslexia, dyscalculia, attention deficit/hyperactivity disorder, developmental language disorder, and autism spectrum disorder, as well as the relevant policies and educational documentation for these learners. It will then cover the professional stakeholders that should be involved in an evidence-based response to a learning difference, and identify their unique knowledge base, toolset, developmental timeline, and communication strategies, both in the educational/professional environment and the community. Finally, we will focus on barriers and challenges faced by children with learning differences in the academic, professional, and community settings. Throughout the course, students will be provided with both research/evidence-based content and case-based learning opportunities, practical examples, and guest speakers drawn from the community. Class activities will include both synchronous and asynchronous learning activities led by the Instructor (Prof. Nadine Gaab), along with breakout sessions overseen by the instructor and/or Teaching Fellows.This course is divided into thirds and will cover: (1) a broad overview of learning disabilities, educational policies, and service documentation; (2) stakeholders in academic and professional settings, including their unique knowledge base, toolset, developmental timeline, and communication strategies, barriers faced by children with learning differences in these settings, existing solutions to these barriers; and (3) stakeholders in community settings, barriers faced by individuals with learners in these settings, existing solutions to these challenges.",,,Social Sciences,No,No,FAS Divisional Distribution,1092
EDST 125,Children with Learning and Developmental Differences,218922,2026,Spring,4,M 1000 AM - 1200 PM | Instructor Permission Required,Nadine Gaab,"The duration of education is a strong predictor of health and longevity, but approximately 1 in 5 children with learning or attention issues have long-lasting negative consequences related to their academic, social, mental health, vocational, economic outcomes. In the US, over 2 million students struggle with specific learning disabilities (SLD), which represents roughly 35% of all students who receive special education services under the Individuals with Disabilities Education Act. Children with a learning disability are less likely to complete high school or enroll in postsecondary educational programs and have a heightened risk for developing mental health problems such as depression or anxiety. Currently, SLDs are primarily identified and addressed within the education system; however, these students also receive care and support outside of school and are members of various community settings. A streamlined approach that informs the coordination of general education, special education, clinical psychology, policymaking, advocacy, caregivers, and health professionals (e.g., pediatricians, speech-and language pathologists) is often absent and hinders the design of preventive approaches, identification strategies, and service implementation. It further leads to a siloed approach for care and policymaking, lack of community supports.The course will provide a broad overview of learning disabilities and differences, including dyslexia, dyscalculia, attention deficit/hyperactivity disorder, developmental language disorder, and autism spectrum disorder, as well as the relevant policies and educational documentation for these learners. It will then cover the professional stakeholders that should be involved in an evidence-based response to a learning difference, and identify their unique knowledge base, toolset, developmental timeline, and communication strategies, both in the educational/professional environment and the community. Finally, we will focus on barriers and challenges faced by children with learning differences in the academic, professional, and community settings. Throughout the course, students will be provided with both research/evidence-based content and case-based learning opportunities, practical examples, and guest speakers drawn from the community. Class activities will include both synchronous and asynchronous learning activities led by the Instructor (Prof. Nadine Gaab), along with breakout sessions overseen by the instructor and/or Teaching Fellows.This course is divided into thirds and will cover: (1) a broad overview of learning disabilities, educational policies, and service documentation; (2) stakeholders in academic and professional settings, including their unique knowledge base, toolset, developmental timeline, and communication strategies, barriers faced by children with learning differences in these settings, existing solutions to these barriers; and (3) stakeholders in community settings, barriers faced by individuals with learners in these settings, existing solutions to these challenges.",,,Social Sciences,No,No,FAS Divisional Distribution,1093
EDST 127,Ethnic Studies and Education,220790,2027,Spring,4,T 0300 PM - 0545 PM | Instructor Permission Required,Christina Villarreal,"How might the study of our collective past and present through a comparative, humanizing lens support our ability to contextualize and confront the challenges of our present? This course introduces students to the origins, epistemologies, frameworks, key concepts, and central questions in the field and community of Ethnic Studies, while applying these concepts and questions to our own educational experiences and the various contexts that we navigate. The course begins with an examination and analysis of self and impact of dominant and counter narratives throughout history, which will provide a foundation for the second half of the course when we examine more recent histories and issues faced by communities of color, including the ongoing struggle for Ethnic Studies here at Harvard. Topics will include, but are not limited to: settler colonialism, race, racism, ethnicity, migration, labor, colonialism, social movements, oppression, intergenerational trauma and resilience, white supremacy, power, agency, liberation, intersectionality, community action, healing centered engagement, solidarity, and social change. This course is designed to be both an individual and collective journey that challenges each of us to critically reflect upon what it means to authentically exercise solidarity in ways that actively interrupt oppression and humanize all participants in classrooms, communities, and beyond.",,,Social Sciences,No,No,FAS Divisional Distribution,1093
EDST 133,Adolescent Development,223834,2026,Fall,4,M 0900 AM - 1145 AM,Nancy Hill,"Adolescence marks change on multiple levels (e.g., biologically, cognitively, and socially) and in multiple contexts (e.g., family, school, community, and peers). In fact, it marks the largest growth period in human development outside of infancy. Driven by enhanced thinking and reasoning capabilities, adolescents struggle with balancing their desires for autonomy and independence with their desires for guidance and connection. These dynamics result in renegotiating family and social relationships and engagement in school, impact the effectiveness of educational practices, and enhance adolescents' ability to think and plan for their future. This course is designed to provide a practical understanding of the developmental issues, assets, and trajectories of adolescent thinking and reasoning. Based in classic and current theory and research and using real problems of practice, students will learn, integrate, and apply knowledge of biological and cognitive development and of identity processes. This course will prepare educational practitioners to integrate developmental approaches to their pedagogy and provide a foundation for those interested in applied research on adolescence.No prerequisites; prior course work in developmental psychology is helpful, but the course is designed for students without a psychology background. Recommended for students who are planning to work directly with adolescents or are planning to engage in applied research with adolescents.Must be a declared Educational Studies student or at least a Junior to enroll. PhD students from any program are welcome.",,Must be a declared Educational Studies student or at least a Junior to enroll.,Social Sciences,No,No,FAS Divisional Distribution,1094
EDST 133,Adolescent Development,223834,2025,Fall,4,W 0900 AM - 1145 AM,Nancy Hill,"Adolescence marks change on multiple levels (e.g., biologically, cognitively, and socially) and in multiple contexts (e.g., family, school, community, and peers). In fact, it marks the largest growth period in human development outside of infancy. Driven by enhanced thinking and reasoning capabilities, adolescents struggle with balancing their desires for autonomy andindependence with their desires for guidance and connection. These dynamics result in renegotiating family and social relationships and engagement in school, impact the effectiveness of educational practices, and enhance adolescents' ability to think and plan for their future. This course is designed to provide a practical understanding of the developmental issues, assets, and trajectories of adolescent thinking and reasoning. Based in classic and current theory and research and using real problems of practice, students will learn, integrate, and apply knowledge of biological and cognitive development and of identity processes. This course will prepare educational practitioners to integrate developmental approaches to their pedagogy and provide a foundation for those interested in applied research on adolescence.No prerequisites; prior course work in developmental psychology is helpful, but the course is designed for students without a psychology background. Recommended for students who are planning to work directly with adolescents or are planning to engage in applied research with adolescents.",,Must be a declared Educational Studies student or at least a Junior to enroll.,Social Sciences,No,No,FAS Divisional Distribution,1094
EDST 135,Education Across Cultures: Beliefs and Practices in Schools and Families,223835,2027,Spring,4,T 1200 PM - 0245 PM,Liao Cheng,"Education is a universal human activity, but how it is understood and practiced vary widely across cultures. When immersed in our own upbringing and educational experiences, we can easily take our beliefs and practices for granted, while overlooking cross-cultural variation and making inaccurate generalization about people from different backgrounds. That is why it is important to take a cross-cultural approach in the study of education. It not only helps us understand the diversity and universalities in educational practices around the world, but also invites us to see our own experiences in a new light and reflect on how our beliefs about learning, teaching, and parenting have been shaped by our cultural backgrounds. In this course, we will examine the interplay between education and culture, focusing on beliefs and practices in schools and families across various cultures. Specifically, we will investigate how cultural values and assumptions shape parent-child interactions, teacher-student dynamics, teaching and learning approaches, and educational systems. We will also consider how these factors impact child development, student well-being and academic achievement, and the experiences of immigrant and international students.",This course counts for the Certificate for Civic Engagement. The Certificate for Civic Engagement recognizes Harvard College students who have demonstrated sustained participation in public service and civic involvement during their undergraduate experience.,,Social Sciences,No,No,FAS Divisional Distribution,1094
EDST 135,Education Across Cultures: Beliefs and Practices in Schools and Families,223835,2026,Spring,4,T 1200 PM - 0245 PM,Liao Cheng,"Education is a universal human activity, but how it is understood and practiced vary widely across cultures. When immersed in our own upbringing and educational experiences, we can easily take our beliefs and practices for granted, while overlooking cross-cultural variation and making inaccurate generalization about people from different backgrounds. That is why it is important to take a cross-cultural approach in the study of education. It not only helps us understand the diversity and universalities in educational practices around the world, but also invites us to see our own experiences in a new light and reflect on how our beliefs about learning, teaching, and parenting have been shaped by our cultural backgrounds. In this course, we will examine the interplay between education and culture, focusing on beliefs and practices in schools and families across various cultures. Specifically, we will investigate how cultural values and assumptions shape parent-child interactions, teacher-student dynamics, teaching and learning approaches, and educational systems. We will also consider how these factors impact child development, student well-being and academic achievement, and the experiences of immigrant and international students.",This course counts for the Certificate for Civic Engagement. The Certificate for Civic Engagement recognizes Harvard College students who have demonstrated sustained participation in public service and civic involvement during their undergraduate experience.,,Social Sciences,No,No,FAS Divisional Distribution,1095
EDST 137 (1),Leading Change in City Schools: Urban Education Reform in Action,223837,2026,Spring,4,W 1200 PM - 0245 PM | Instructor Permission Required,Nicole Simon,"Public education has long strived to be society's ""great equalizer."" Yet, throughout its history, the American education system has failed to deliver on this promise. In this course, we will examine specific high-profile and popular system-level reform initiatives aimed at improving urban public schools. For example, we will investigate New York City's efforts to improve high schools and develop a ""college for all"" culture, Boston's focus on teacher quality, and Denver's school choice initiative. We will meet key leaders of these reforms: district level policy makers, principals, teachers, non-profit leaders and funders who collectively developed theories of action, negotiated new policies, and implemented the reforms with students. We will dive deep into their work to understand how political, economic, and cultural systems have enabled and constrained it, andwe will review the growing body of research on these reforms. Through course assignments, students will have opportunities to further investigate initiatives that interest them by visiting schools, interviewing education leaders, synthesizing research, and reflecting on whether and how recent reforms have influenced their own educational experiences.",,,Social Sciences,No,No,FAS Divisional Distribution,1095
EDST 137 (1),Leading Change in City Schools: Urban Education Reform in Action,223837,2027,Spring,4,W 1200 PM - 0245 PM,Nicole Simon,"Public education has long strived to be society's ""great equalizer."" Yet, throughout its history, the American education system has failed to deliver on this promise. In this course, we will examine specific high-profile and popular system-level reform initiatives aimed at improving urban public schools. For example, we will investigate New York City's efforts to improve high schools and develop a ""college for all"" culture, Boston's focus on teacher quality, and Denver's school choice initiative. We will meet key leaders of these reforms: district level policy makers, principals, teachers, non-profit leaders and funders who collectively developed theories of action, negotiated new policies, and implemented the reforms with students. We will dive deep into their work to understand how political, economic, and cultural systems have enabled and constrained it, andwe will review the growing body of research on these reforms. Through course assignments, students will have opportunities to further investigate initiatives that interest them by visiting schools, interviewing education leaders, synthesizing research, and reflecting on whether and how recent reforms have influenced their own educational experiences.",,,Social Sciences,No,No,FAS Divisional Distribution,1095
EDST 138,"Neuroscience and Education: Foundations, Development, and Applications",224531,2026,Fall,4,M 1000 AM - 1200 PM | Instructor Permission Required,Nadine Gaab,"The field of neuroscience can provide a biological-level description to better understand how students learn and explain individual differences. It can offer an alternative perspective on learning principles, skill development, and learning differences, including their underlying etiologies. At the same time, the application of neuroscience to education is debated. Findings are often misinterpreted or oversimplified, leading to ""brain myths,"" overgeneralizations, and ineffective and sometimes harmful educational practices and policies.This course introduces students to the structure and function of the brain, how it develops and changes over time, and the methods used to study brain development and plasticity. Students will learn to critically evaluate scientific evidence related to brain development, ""brain-based"" educational claims, and commercial ""brain training"" programs, and will practice identifying and debunking common neuromyths in educational contexts.Building on these foundations, the course will then address key domains of development central to education, including language, reading, and mathematics, as well as attention and social-emotional development. We will consider both typical developmental trajectories and developmental differences and learning disabilities that are particularly relevant in educational settings, as well as the ways environmental factors can shape or alter these trajectories.The course has a strong translational focus. Students will connect neuroscientific and developmental knowledge to real-world challenges in classrooms, schools, and education policy. Assessments are designed to emphasize both practical application and critical analysis. Instruction will combine synchronous and asynchronous activities, including lectures, discussions, and instructor-led guided learning tasks.",,,Social Sciences,No,No,FAS Divisional Distribution,1096
EDST 138,"Neuroscience and Education: Foundations, Development, and Applications",224531,2025,Fall,4,M 1000 AM - 1200 PM | Instructor Permission Required,Nadine Gaab,"The field of neuroscience can deliver a biological level of description to better understand how students learn. It can offer an alternative perspective on learning principles, skill development, and learning differences including their underlying etiologies. However, the role of this body of knowledge for developing pedagogical principles, interventions, or public policy, has been debated. Furthermore, this knowledge is often translated into educational contexts, inefficaciously leading to overgeneralizations, myths, and ineffective practices harming students. In this course, students will be introduced to the brain's structure and function, how the it brain changes over time, and the methods used to study the brain and its development and plasticity. Students will further identify and dispel common brain myths in educational contexts and learn to evaluate scientific evidence and approaches related to brain development and 'brain training' programs. Students will then learn about specific domains of development critical in educational contexts, including the acquisition of language, reading and math skills, attention, emotions, social interactions, and how environmental factors can alter developmental trajectories. Students will review both the typical developmental pattern experienced by most children and specific developmental differences and disabilities relevant in educational contexts. The course has a strong translational component and includes specific practical applications of the course content to challenges and demands in educational contexts and policy, which is reflected in the assessments. Class activities will consist of both synchronous and asynchronous learning activities led by the instructor.",,,Social Sciences,No,No,FAS Divisional Distribution,1096
